공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
2022년 10월 경력사원 모집 (제조지능화센터-공정 시스템),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39891565?Oem_Code=C1&logpath=1&stext=파이썬&listno=43,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
2022년 10월 경력사원 모집 (제조지능화센터),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39891406?Oem_Code=C1&logpath=1&stext=파이썬&listno=44,충북 청주시 외,~10/18(화),"['경력', '충북 외', '충북 청주시 외']","인사, 기술개발, 설비관리, 시스템개발, 예지보전, 제조지능화기획, 기획, 전략, 특허업무, 마케팅, C#, C++, Python, SAP, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, R, 데이터분석, 공정관리, 생산관리"
도미노피자 각부문(자회사/관계사포함) 공개채용,도미노피자(청오디피케이),https://www.jobkorea.co.kr/Recruit/GI_Read/39860503?Oem_Code=C1&logpath=1&stext=파이썬&listno=45,충남 천안시 외,~11/01(화),"['신입·경력', '학력무관', '정규직 외']","UI·UX디자인, 프랜차이즈, 피자점, 소프트웨어개발, 모바일, 총무, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 브랜딩, 시장분석, 업무제휴, 프로모션, 물류, 영어, 해외마케팅, 배송, 물류관리, 상품입출고, 재고관리, SCM, 납품관리, 매출관리, 매장관리, 매장시설관리, 매출관리, 재고관리, 판매관리, 홀써빙, DBA, SQL, 데이터마이닝, 네트워크관리, 네트워크엔지니어, 보안관리, 보안기술, 서버관리자, 서버구축, 시스템운영, Linux, Unix, 모바일기획, 웹기획, 웹서비스기획, 정보설계, 컨텐츠기획, UI설계, 바이럴마케팅, 온라인마케팅, 웹광고기획, 웹프로모션, 웹프로그래머, MS-SQL, MySQL, Python, 응용프로그래머, 전산전공, API, C, Java, Linux, Oracle, Python, SQL, Unix, 웹사이트운영, 카페·블로그관리, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 자바스크립트, CSS, UI·UX, 모바일UI, 웹UI, 일러스트레이터, HTML, UI·UX디자인, 시스템분석, 시스템설계, 시스템엔지니어, DBA, Python, 빅데이터, 데이터분석, 생산, 생산관리, 품질관리, HACCP, ISO, QA, 기계, 설비, 요리사, 조리사, 주방장, 중식, Chef, 서빙"
(주)한백전자 인공지능 분야 연구원 모집,(주)한백전자,https://www.jobkorea.co.kr/Recruit/GI_Read/39716536?Oem_Code=C1&logpath=1&stext=파이썬&listno=46,대전 유성구,~10/19(수),"['신입·경력', '대졸↑', '정규직']","Python, 인공지능(AI), 머신러닝(ML), 딥러닝, tensorflow, 소프트웨어, 임베디드"
[공개채용] (주)지니 솔루션 사업부(개발자/ 퍼블리셔/ 디자이너/ 모바일 기획 및 전략) 공개채용,㈜지니,https://www.jobkorea.co.kr/Recruit/GI_Read/39607067?Oem_Code=C1&logpath=1&stext=파이썬&listno=47,대전 서구,~12/06(화),"['경력3년↑', '학력무관', '정규직']","연구소, 조사분석, 컨설팅, .NET, HTML, Java, MySQL, SQL, 아이폰, 안드로이드, API, Linux, Python, 포토샵, CSS, UI·UX디자인"
"홈페이지(wordpress), 블로그, SNS 마케팅 담당자 모집",㈜시큐레이어,https://www.jobkorea.co.kr/Recruit/GI_Read/39552165?Oem_Code=C1&logpath=1&stext=파이썬&listno=48,대전 서구 외,~10/31(월),"['경력3년↑', '초대졸↑', '정규직']","기술연구소, 리눅스, 정보처리기사, 로그분석시스템, 보안솔루션, 보안솔루션 구축, 빅데이터분석, 보안소프트웨어, 정보보안, MS-SQL, MySQL, Oracle, 데이터마이닝, 보안관제, 정보보안, 통계·로그분석, UI설계, Python, 인공지능(AI), 빅데이터, 딥러닝, tensorflow"
S/W 개발자 모집,엠아이큐브솔루션㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39500923?Oem_Code=C1&logpath=1&stext=파이썬&listno=49,충남 전지역 외,~11/24(목),"['경력2년↑', '학력무관', '정규직']","소프트웨어개발, HTML, Java, Python, C#, Java, Oracle, Python, Python, 인공지능(AI), 머신러닝(ML), R, tensorflow"
[기술연구소] Java 기반 Web Application 개발자 채용,㈜시큐레이어,https://www.jobkorea.co.kr/Recruit/GI_Read/39426858?Oem_Code=C1&logpath=1&stext=파이썬&listno=50,대전 서구 외,~10/18(화),"['신입·경력2년↑', '초대졸↑', '정규직']","기술연구소, 리눅스, 정보처리기사, 로그분석시스템, 보안솔루션, 보안솔루션 구축, 빅데이터분석, 보안소프트웨어, 정보보안, MS-SQL, MySQL, Oracle, 데이터마이닝, 보안관제, 정보보안, 통계·로그분석, UI설계, Python, 인공지능(AI), 빅데이터, 딥러닝, tensorflow"
경력사원 채용 (Cloud운영/CDN/HRD/구매 분야),㈜케이티클라우드,https://www.jobkorea.co.kr/Recruit/GI_Read/39946140?Oem_Code=C1&logpath=1&stext=파이썬&listno=51,충남 천안시 외,~10/16(일),"['경력', '대졸↑', '정규직']","CDN, 구매전략, 사업관리, Cloud, IT인프라, VDI, 교육, 교육기획, 교육훈련, 인사, 구매관리, 자재구매기획, 기술지원, 네트워크관리, 네트워크엔지니어, 방화벽, 보안관리, 서버관리자, 서버구축, Linux, Windows, MS-SQL, 하드웨어, 소프트웨어"
응용소프트웨어 개발 / 앱 개발 모집,㈜바이오니아,https://www.jobkorea.co.kr/Recruit/GI_Read/39944956?Oem_Code=C1&logpath=1&stext=파이썬&listno=52,대전 유성구,~11/06(일),"['경력3년↑', '대졸↑', '정규직']","바이오, 생명공학, 의료기기, 의약, 아이폰, 안드로이드, API, Application, Windows"
어드밴텍케이알㈜ 신입/경력 채용,어드밴텍케이알㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39925642?Oem_Code=C1&logpath=1&stext=파이썬&listno=53,충북 청주시 외,~10/23(일),"['신입·경력', '학력무관', '정규직']","유지보수, 컴퓨터, 하드웨어, 기술영업, 일반영업, 기술영업, 기술지원, 네트워크영업, 웹사이트구축영업, 매출관리, 영업관리, 영업기획, 영업지원"
2022 하반기 신입사원 채용(생산(생산기술)),코웨이㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39934900?Oem_Code=C1&logpath=1&stext=파이썬&listno=54,충남 공주시,~10/25(화),"['신입', '대졸↑', '정규직']","국내영업, 기획, 생산관리, 인사, CS, 소프트웨어, 백엔드개발, 상품개발, 서비스개발, 온라인영업, GIT, Kotlin, 구매관리, SCM, 상품기획, 영업관리, 영업기획, 빅데이터, 데이터분석, 정보통신·IT, 3D설계, catia"
2022년 10월 경력사원 모집 (품질) - 개발신뢰성,LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39931254?Oem_Code=C1&logpath=1&stext=파이썬&listno=55,충북 청주시,~10/17(월),"['경력', '충북', '충북 청주시']","유지보수, 품질, 품질검사, 품질관리, 품질보증, 반도체, 기계·자동차"
2022년 10월 경력사원 모집 (품질),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/39927975?Oem_Code=C1&logpath=1&stext=파이썬&listno=56,대전 유성구 외,~10/17(월),"['경력', '대전 외', '대전 유성구 외']","유지보수, 품질, 품질검사, 품질관리, 품질보증, 반도체, 기계·자동차"
2022년 하반기 신입/경력 수시 채용,슈어소프트테크㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39878475?Oem_Code=C1&logpath=1&stext=파이썬&listno=57,대전 전지역 외,~11/04(금),"['신입·경력2년↑', '초대졸↑', '정규직']","소프트웨어개발, 솔루션, 데이터베이스, 데이터마이닝, C, C#, C++, Java, Linux, 시스템프로그래머, 임베디드, UI·UX, 시스템분석, 시스템설계, 시스템엔지니어, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, 데이터분석, 하드웨어, 소프트웨어, 기술연구소, 기술직, 연구관리, 연구원, 제어, 임베디드, 하드웨어, 기계·자동차, 로봇·자동화"
[공개채용] 2022년 (주)지니 하반기 공개채용,㈜지니,https://www.jobkorea.co.kr/Recruit/GI_Read/39876543?Oem_Code=C1&logpath=1&stext=파이썬&listno=58,대전 유성구 외,~10/14(금),"['신입·경력', '학력무관', '정규직']","연구소, 조사분석, 컨설팅, 국내영업, 기술영업, 법인영업, 일반영업, 기술지원, 솔루션영업, 시스템영업, 거래선개발관리, 고객관리, 영업지원, 기술영업, 법인영업, 일반영업, 고객상담, 고객지원"
22년 10월 쿠첸 공개모집 채용 공고,쿠첸,https://www.jobkorea.co.kr/Recruit/GI_Read/39844241?Oem_Code=C1&logpath=1&stext=파이썬&listno=59,충남 천안시 외,~10/16(일),"['신입·경력5년↑', '학력무관', '정규직']","제품개발, 하드웨어"
2022년 R&D분야 경력/박사 채용(16차),케이티,https://www.jobkorea.co.kr/Recruit/GI_Read/39839405?Oem_Code=C1&logpath=1&stext=파이썬&listno=60,대전 서구 외,~10/28(금),"['경력', '대졸↑', '정규직']","5G, 교통관리, 음성기술, HEVC, NLU, 운항기술개발, C++, Linux, Unix, Windows, 인공지능(AI), 빅데이터, 딥러닝, tensorflow, 자연어처리(NLP), 펌웨어, 소프트웨어, 로봇·자동화"
(주)에이치비테크놀러지 머신비전/영상처리 알고리즘 개발자,㈜에이치비테크놀러지,https://www.jobkorea.co.kr/Recruit/GI_Read/39783517?Oem_Code=C1&logpath=1&stext=파이썬&listno=61,충남 아산시,~10/26(수),"['신입·경력', '대졸↑', '정규직']","광학검사장비, 머신비전, 영상처리, 영상처리 알고리즘, 이미지 프로세싱, 자동화 장비, 컴퓨터비전, Image Processing, VISION, LCD, LED, 유지보수, 소프트웨어"
2022년 쌍용정보통신 경력직 공개채용,쌍용정보통신㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39684250?Oem_Code=C1&logpath=1&stext=파이썬&listno=62,대전,~12/14(수),"['경력', '학력무관', '정규직']","제안서, 소프트웨어개발, 솔루션, BigData, NI, SI, 사업기획, 사업제휴, 신규사업·BD, 전략, Excel, PowerPoint, 영업관리, 영업기획, 영업지원, 데이터베이스, MS-SQL, MySQL, Oracle, SQL, 데이터마이닝, 네트워크관리, 네트워크엔지니어, 보안관리, 보안관제, 보안기술, 정보보안, Cisco, 제안·컨설팅, PM, MS-SQL, SQL, 응용프로그래머, API, Application, C, C#, C++, Java, Linux, Oracle, SQL, 시스템설계, 시스템엔지니어, 빅데이터, 하둡(Hadoop), 데이터분석, 하드웨어, 품질, 품질검사, 품질관리, 품질보증, 하드웨어, 네트워크엔지니어"
[IMBdx] 생명정보학(BI) 전문가 모집 -선행기술 개발,㈜아이엠비디엑스,https://www.jobkorea.co.kr/Recruit/GI_Read/39228094?Oem_Code=C1&logpath=1&stext=파이썬&listno=63,대전 서구 외,~10/30(일),"['경력무관', '석사↑', '정규직']","바이오, 바이오, 의료, 임상개발, 유전공학"
2022년 하반기 (주)트렌토 시스템즈  소프트웨어 개발자 채용,㈜트렌토 시스템즈,https://www.jobkorea.co.kr/Recruit/GI_Read/39922369?Oem_Code=C1&logpath=1&stext=파이썬&listno=64,대전 유성구,~01/08(일),"['경력무관', '초대졸↑', '정규직']","네트워크엔지니어, Linux, Java, jsp, Python"
충북대학교병원 국책과제 개별고용연구원 채용 (의료AI),충북대학교병원,https://www.jobkorea.co.kr/Recruit/GI_Read/39890704?Oem_Code=C1&logpath=1&stext=파이썬&listno=65,충북 청주시,~12/05(월),"['신입·경력1년↑', '대졸↑', '계약직']","공공기관, 공기업, Python, 인공지능(AI), 빅데이터, 딥러닝"
웹 개발경력,DS소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/39885792?Oem_Code=C1&logpath=1&stext=파이썬&listno=66,충북 청주시 외,~10/31(월),"['경력2년↑', '대졸↑', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, 웹프로그래머, MySQL, php, Python, 머신러닝(ML), 챗봇(Chatbot)"
응용프로그램 개발자 신입 및 경력을 모집합니다.,이엔유㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39882379?Oem_Code=C1&logpath=1&stext=파이썬&listno=67,대전 유성구,~01/03(화),"['신입·경력3년↑', '초대졸↑', '정규직']","소프트웨어개발, 솔루션, SI, 응용프로그래머, C++, Java, MFC, Python, 인공지능(AI), 빅데이터, tensorflow, 데이터분석, R&D"
"SW 개발자 모집 -영상처리, Unity, 윈도우 서버-클라이언트[전문연구요원 가능]",가치소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/39874261?Oem_Code=C1&logpath=1&stext=파이썬&listno=68,대전 유성구,상시채용,"['경력무관', '초대졸↑', '정규직']","Unity, 소프트웨어개발, 솔루션, SI, 데이터베이스, MS-SQL, MySQL, Oracle, SQL, 병역특례, C#, C++, MFC, Python"
"(주)아이옵스 머신러닝 엔지니어 연구원 채용공고 (신입, 경력)",㈜아이옵스,https://www.jobkorea.co.kr/Recruit/GI_Read/39867582?Oem_Code=C1&logpath=1&stext=파이썬&listno=69,대전 유성구,~10/16(일),"['경력무관', '대졸↑', '정규직']","Python, 인공지능(AI), 머신러닝(ML), 딥러닝"
"2022 웹개발사업부 채용[기획자PM,웹디자이너,개발자]",㈜올림커뮤니케이션즈,https://www.jobkorea.co.kr/Recruit/GI_Read/39866665?Oem_Code=C1&logpath=1&stext=파이썬&listno=70,충북 청주시 외,~11/03(목),"['신입·경력3년↑', '학력무관', '정규직']","웹에이전시, 데이터베이스, MS-SQL, MySQL, SQL, 모바일기획, 스토리보드, 웹기획, 컨텐츠기획, PM, Java, jsp, MySQL, php, Python, 모바일UI, 웹UI, 포토샵, HTML, UI·UX디자인"
(충남 계룡시) 국방 M&S 연구분석관 모집 (석사),㈜심네트,https://www.jobkorea.co.kr/Recruit/GI_Read/39860099?Oem_Code=C1&logpath=1&stext=파이썬&listno=71,대전 유성구 외,~10/30(일),"['경력무관', '석사↑', '정규직']","연구과제, 통계학, 소프트웨어개발, 솔루션, Python, 인공지능(AI), 빅데이터, 사물인터넷(IoT), 네트워크엔지니어, 이동통신, 전자통신, 정보통신, 조사분석, 통계, Minitab, SAS, SPSS"
[전문연구요원 및 일반] 응용 SW 개발자 혹은 영상처리  및 비전검사 SW 개발자 모집,가치소프트,https://www.jobkorea.co.kr/Recruit/GI_Read/39835083?Oem_Code=C1&logpath=1&stext=파이썬&listno=72,대전 유성구 외,~12/28(수),"['신입·경력', '대졸↑', '정규직 외']","가치소프트, 자동화 시스템, 소프트웨어개발, 솔루션, SI, C++, Python, 인공지능(AI), 딥러닝, 소프트웨어"
"주 1회/3회 출근 가능, java 자바 웹/모바일 개발 및 유지보수 신입/경력직 채용",위셀글로벌㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39823419?Oem_Code=C1&logpath=1&stext=파이썬&listno=73,대전 전지역 외,상시채용,"['신입·경력', '고졸↑', '정규직']","오픈마켓, 전자상거래, B2B, B2C, 웹프로그래머, Java, MySQL, Python, 웹접근성, 웹표준, 자바스크립트, CSS, UI·UX, Python, 빅데이터, 머신러닝(ML), 데이터분석, 자연어처리(NLP)"
2022년 하반기 원익 대졸공채,㈜원익홀딩스,https://www.jobkorea.co.kr/Recruit/GI_Read/39815140?Oem_Code=C1&logpath=1&stext=파이썬&listno=74,충북 청주시 외,~12/27(화),"['신입', '대졸↑', '정규직']","부품개발, 반도체, 반도체장비, 경영기획, 기획, 기획조사, 사업기획, 서비스기획, 전략, 관리, 문서관리, 법무, 복리후생관리, 비품관리, 사무관리, 사무행정, 시설관리, 자산관리, 총무, 교육, 교육기획, 급여관리, 인사, 임금관리, 관리회계, 원가회계, 전산회계, 재무기획, 재무회계, 무역일반, 무역사, 무역사무, 무역영어, 수출입무역, 구매관리, 상품입출고, 외자구매, 자재구매기획, SCM, MD, 기술영업, 기술지원, 반도체영업, 솔루션영업, 시스템영업, 신기술영업, 고객관리, 매출관리, 영업관리, 영업기획, 영업지원, 네트워크관리, 보안관리, 보안기술, 응용프로그래머, C, C++, Python, PLC, Python, 머신러닝(ML), 딥러닝, R, 데이터분석, 소프트웨어, 생산, 생산관리, 품질, 품질검사, 품질관리, 기계, 기능직, 회로, 신소재, 기구설계, 연구관리, 기구설계, 기술연구소, 기술직, 반도체, 연구관리, 연구원, 전기·전자, 제품개발, 회로설계, 전기·전자회로, 회로설계, PLC, 3D설계, 기구설계, AutoCad, CAD, CAM, 로봇·자동화, 반도체·LCD, 신소재개발"
(대전/서울)꿀비 경력직 채용공고(빅데이터),㈜꿀비,https://www.jobkorea.co.kr/Recruit/GI_Read/39812120?Oem_Code=C1&logpath=1&stext=파이썬&listno=75,대전 서구,~10/14(금),"['경력4년↑', '대졸↑', '정규직']","소프트웨어개발, 솔루션, Java, MySQL, Python, 빅데이터"
(대전/서울/판교)꿀비 경력직 채용공고(웹개발),㈜꿀비,https://www.jobkorea.co.kr/Recruit/GI_Read/39812072?Oem_Code=C1&logpath=1&stext=파이썬&listno=76,대전 서구 외,~10/14(금),"['경력3년↑', '대졸↑', '정규직']","소프트웨어개발, 솔루션, Java, Python, Linux"
엔지니어 채용,㈜아인스에스엔씨,https://www.jobkorea.co.kr/Recruit/GI_Read/39807510?Oem_Code=C1&logpath=1&stext=파이썬&listno=77,대전 유성구 외,상시채용,"['경력무관', '학력무관', '정규직']","엔지니어, 솔루션, Python, 머신러닝(ML), R, 데이터분석, 소프트웨어"
프로그램/웹 개발 5년 이상 경력자 모집,㈜아이티공간,https://www.jobkorea.co.kr/Recruit/GI_Read/39796716?Oem_Code=C1&logpath=1&stext=파이썬&listno=78,충북 청주시 외,상시채용,"['경력5년↑', '대졸↑', '정규직 외']","자동제어, Go, 모바일앱개발, 소프트웨어개발, 솔루션, BigData, SI, 웹프로그래머, Java, MySQL, Python, .NET, 안드로이드, 응용프로그래머, Application, C#, Python, 인공지능(AI), 빅데이터, 사물인터넷(IoT)"
프로그램/웹/앱 개발자 신입 경력 채용,㈜아이티공간,https://www.jobkorea.co.kr/Recruit/GI_Read/39796715?Oem_Code=C1&logpath=1&stext=파이썬&listno=79,충북 청주시 외,상시채용,"['신입', '학력무관', '정규직 외']","Go, 모바일앱개발, 소프트웨어개발, 솔루션, BigData, SI, 웹프로그래머, MySQL, Python, 인공지능(AI), 빅데이터, 머신러닝(ML)"
"[플랜아이] MX사업부 PHP개발자, 기획자 채용",㈜플랜아이,https://www.jobkorea.co.kr/Recruit/GI_Read/39794239?Oem_Code=C1&logpath=1&stext=파이썬&listno=80,대전 유성구,~12/25(일),"['경력2년↑', '학력무관', '정규직']","웹프로그래머, HTML, MySQL, php, Python"
[원격근무] 실리콘밸리 스타트업 글래스돔코리아 프론트엔드 엔지니어분을 모십니다.,글래스돔코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/39768616?Oem_Code=C1&logpath=1&stext=파이썬&listno=81,대전 서구,~12/22(목),"['경력2년↑', '대졸↑', '정규직']","React, Typescript, 소프트웨어개발, 솔루션, BigData, Java, Python, 자바스크립트, CSS, HTML5, HTML코딩, 인공지능(AI), 빅데이터, 사물인터넷(IoT), 데이터분석"
자동차보상 직군 경력사원 채용,캐롯손해보험㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/39736860?Oem_Code=C1&logpath=1&stext=파이썬&listno=82,대전 전지역 외,상시채용,"['경력', '학력무관', '정규직 외']","자동차보험, 건강보험, 경영관리, 대물보상, 대인보상, 리스크관리, 손익관리, 일반보험, 프론트엔드, Agile, Akka, Architect, Back-end, DevOps, FRM, FrameWork, IFRS17, ISMS, JVM, SCRUM, UI/UX, UI·UX디자인, 대인보상기획, 인프라AA, 손해보험, 손해사정, 자동차보험, 정보보안, 모바일, 모바일App, 경영기획, 변화관리, 사업제휴, 신규사업·BD, 법무, 사무행정, 송무, 인허가업무, 마케팅, 마케팅기획, 시장분석, 업무제휴, 상품기획, 신상품개발, 개인고객영업, 법인고객영업, 보험설계, 보험영업, 고객관리, 영업관리, 영업지원, 보험, 아웃바운드TM, 고객상담, 고객지원, 보험회사, 인바운드TM, 고객관리, 제품홍보, 테스터, QA, Windows, 네트워크관리, 네트워크엔지니어, 방화벽, 보안관리, 보안기술, 서버관리자, 서버구축, 정보보안, Windows, 안드로이드, C, C++, Java, SQL, 시스템분석, 요구분석, 튜닝, DBA, Python, 빅데이터, 머신러닝(ML), tensorflow, 챗봇(Chatbot), 데이터분석, 보험심사·청구, 경영지원, 고객관리, 손해사정, 보상, 보험심사, 보험계리사, 언더라이팅"
생명정보학 Bioinformatics 연구개발 (뇌종양등 암 연구),몰팩바이오,https://www.jobkorea.co.kr/Recruit/GI_Read/39732130?Oem_Code=C1&logpath=1&stext=파이썬&listno=83,대전 유성구 외,~12/19(월),"['경력무관', '학력무관', '정규직']","생명공학, Python, Perl, 생명공학"
위성항법 분야 소프트웨어 개발자 채용,㈜한컴인스페이스,https://www.jobkorea.co.kr/Recruit/GI_Read/39714744?Oem_Code=C1&logpath=1&stext=파이썬&listno=84,대전 유성구,~12/18(일),"['경력2년↑', '대졸↑', '정규직']","소프트웨어개발, Python, SQL, C#, Python, SQL, VisualC++, Windows"
[인공지능/빅데이터분야] 신입/경력 개발자 채용,㈜에이아이리더,https://www.jobkorea.co.kr/Recruit/GI_Read/39712046?Oem_Code=C1&logpath=1&stext=파이썬&listno=85,충남 천안시 외,~12/18(일),"['신입·경력', '대졸↑', '정규직']","Detection, MQTT, Open CV, wpf, 소프트웨어개발, C, C#, Linux, Python, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝"
IT PM/웹개발자/앱개발자/웹디자이너/앱디자이너를 모집합니다.,㈜제이로고스,https://www.jobkorea.co.kr/Recruit/GI_Read/39706381?Oem_Code=C1&logpath=1&stext=파이썬&listno=86,대전 전지역 외,상시채용,"['신입·경력2년↑', '초대졸↑', '정규직 외']","모바일앱개발, 소프트웨어개발, 솔루션, SI, AJAX, Java, jsp, Servlet, SQL, 응용프로그래머, Java, Oracle, Python, SQL, Python, 빅데이터, 딥러닝, 데이터분석, 자연어처리(NLP)"
"이미지 딥러닝(CNN, GNN, GAN) 및 SW개발 인재 채용",몰팩바이오,https://www.jobkorea.co.kr/Recruit/GI_Read/39673892?Oem_Code=C1&logpath=1&stext=파이썬&listno=87,대전 유성구,~12/14(수),"['신입·경력1년↑', '대졸↑', '정규직']","생명공학, Python, 인공지능(AI), 딥러닝"
"[그린] IT 프로그래밍(정보기술개발, 자바, C#, 블록체인 등) 훈련교사 채용",(주)지아이티아카데미 부산2,https://www.jobkorea.co.kr/Recruit/GI_Read/39659287?Oem_Code=C1&logpath=1&stext=파이썬&listno=88,대전 전지역 외,~10/14(금),"['경력2년↑', '초대졸↑', '정규직 외']","교사, 디자인학원, 실기교사, 학원강사, IT학원, 웹프로그래머, Java, php, Python, SQL, 응용프로그래머, C, C++, Java, SQL, 일반학원강사, 컴퓨터학원강사, IT학원강사, 직업훈련교사, 전문직업강사"
"의료영상 진단 딥러닝(CNN, GNN, GAN) 연구개발 인재 채용",몰팩바이오,https://www.jobkorea.co.kr/Recruit/GI_Read/39656399?Oem_Code=C1&logpath=1&stext=파이썬&listno=89,대전 유성구 외,~12/12(월),"['신입·경력1년↑', '대졸↑', '정규직']","생명공학, Python, 인공지능(AI), 딥러닝"
IoT 소프트웨어 엔지니어,글래스돔코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/39632078?Oem_Code=C1&logpath=1&stext=파이썬&listno=90,대전 서구,~12/08(목),"['경력2년↑', '학력무관', '정규직']","소프트웨어개발, 솔루션, BigData, Python, 인공지능(AI), 빅데이터, 사물인터넷(IoT), 데이터분석"
유니티 개발자/웹 개발자/IT서비스 기획자 모집,㈜솔릭,https://www.jobkorea.co.kr/Recruit/GI_Read/39627589?Oem_Code=C1&logpath=1&stext=파이썬&listno=91,충북 충주시,~12/07(수),"['경력무관', '학력무관', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, 게임개발, 게임기획, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, HTML, Java, MySQL, php, Python"
기획 및 JAVA/C# 프로그래머 채용 공고 (충북청주),굿스트림,https://www.jobkorea.co.kr/Recruit/GI_Read/39618737?Oem_Code=C1&logpath=1&stext=파이썬&listno=92,충북 청주시,상시채용,"['경력무관', '초대졸↑', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, BigData, 스토리보드, 웹기획, 웹서비스기획, 정보설계, UI설계, Java, jsp, Python, SQL, 응용프로그래머, API, C#, Java"
[알지티] 2022년 채용 (채용보상금 지급),㈜알지티,https://www.jobkorea.co.kr/Recruit/GI_Read/39613939?Oem_Code=C1&logpath=1&stext=파이썬&listno=93,대전 유성구 외,~12/06(화),"['경력무관', '대졸↑', '정규직']","자율주행, 메카트로닉스, Python, 응용프로그래머, C, C++, Linux, Python, 시스템프로그래머, 임베디드, 펌웨어, Python, 인공지능(AI), 2D, 3D설계, 기구설계, AutoCad, Pro-e, 로봇·자동화"
각 분야 신입/경력 채용,㈜솔리데오시스템즈,https://www.jobkorea.co.kr/Recruit/GI_Read/39613124?Oem_Code=C1&logpath=1&stext=파이썬&listno=94,충북 청주시 외,~11/06(일),"['신입·경력', '초대졸↑', '정규직']","솔루션, SI, SM, 모바일기획, 사용자평가, 웹기획, 제안·컨설팅, 컨텐츠기획, 웹프로그래머, Java, MS-SQL, MySQL, SQL, 응용프로그래머, Java, Linux, Python, SQL, 품질, 품질검사, 품질관리, QA"
충남대학교병원 의료인공지능 딥러닝 모델 개발자,충남대학교병원,https://www.jobkorea.co.kr/Recruit/GI_Read/39595698?Oem_Code=C1&logpath=1&stext=파이썬&listno=95,대전 중구,~12/05(월),"['경력3년↑', '대졸↑', '계약직']","국공립병원, Python, 인공지능(AI), 딥러닝, tensorflow, 데이터분석"
